Loading inference model from files models/output_graph.pbLoaded inference model in 0.21s.# File (10_A_1.wav):
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'which movies dit tumpro play and'
# - processed in 3.01 seconds.
# - WER = 0.571
# File (17_K_7.wav):
# - 1.9569375 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'what do you gream apout'
# - processed in 1.984 seconds.
# - WER = 0.4
# File (17_K_8.wav):
# - 1.8471875 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'whats you favorite color'
# - processed in 1.858 seconds.
# - WER = 1.0
# File (17_K_9.wav):
# - 3.6031875 seconds long.
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'what do you who wen i'm not at home'
# - processed in 3.631 seconds.
# - WER = 0.2
# File (18_A_1.wav):
# - 2.306125 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'a themale turn on the lights'
# - processed in 2.338 seconds.
# - WER = 0.4
# File (18_A_2.wav):
# - 2.356 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'he onever turnd on the lights'
# - processed in 2.417 seconds.
# - WER = 0.6
# File (18_A_3.wav):
# - 2.6753125 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'orti mes to fhone the lights'
# - processed in 2.711 seconds.
# - WER = 0.8
# File (18_A_4.wav):
# - 2.1465 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'traya from on telights'
# - processed in 2.138 seconds.
# - WER = 0.8
# File (18_A_5.wav):
# - 2.5855 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'shane turm on the lights'
# - processed in 2.584 seconds.
# - WER = 0.4
# File (18_A_6.wav):
# - 2.366 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'computer turn on the lights'
# - processed in 2.382 seconds.
# - WER = 0.0
# File (18_B_1.wav):
# - 3.092375 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'youte and muthful'
# - processed in 3.108 seconds.
# - WER = 1.5
# File (18_B_2.wav):
# - 2.6088125 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stop uapart'
# - processed in 2.61 seconds.
# - WER = 0.5
# File (18_B_3.wav):
# - 2.6125 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'pase resumed'
# - processed in 2.615 seconds.
# - WER = 1.0
# File (18_B_4.wav):
# - 2.2704375 seconds long.
# - actual    text: 'next back'
# - processed text: 'next back'
# - processed in 2.269 seconds.
# - WER = 0.0
# File (18_B_5.wav):
# - 1.1088125 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 1.104 seconds.
# - WER = 0.0
# File (18_B_6.wav):
# - 1.604 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'turm the valume down'
# - processed in 1.6 seconds.
# - WER = 0.5
# File (18_B_7.wav):
# - 1.8371875 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'said william to six'
# - processed in 1.836 seconds.
# - WER = 0.5
# File (18_C_1.wav):
# - 2.3460625 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'plac ome music quipean chovy'
# - processed in 2.363 seconds.
# - WER = 0.833
# File (18_C_2.wav):
# - 2.47575 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'play my agty thropk plade now'
# - processed in 2.486 seconds.
# - WER = 0.5
# File (18_C_3.wav):
# - 2.3260625 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'what on is currently playing'
# - processed in 2.37 seconds.
# - WER = 0.2
# File (18_C_4.wav):
# - 2.7759375 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'please at the son to my favourites'
# - processed in 2.819 seconds.
# - WER = 0.429
# File (18_C_5.wav):
# - 2.8249375 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'what can i do with the music skill'
# - processed in 2.861 seconds.
# - WER = 0.0
# File (18_D_1.wav):
# - 2.9346875 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'seden alorm for five a yem pleace'
# - processed in 2.964 seconds.
# - WER = 0.857
# File (18_D_2.wav):
# - 3.3736875 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'aw much time this left on my pizzar timeal'
# - processed in 3.436 seconds.
# - WER = 0.444
# File (18_D_3.wav):
# - 3.9923125 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remind me all the tennist training to night at five'
# - processed in 4.069 seconds.
# - WER = 0.444
# File (18_D_4.wav):
# - 1.9369375 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'cancel all my time us'
# - processed in 1.969 seconds.
# - WER = 0.5
# File (18_D_5.wav):
# - 1.2284375 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's the date'
# - processed in 1.218 seconds.
# - WER = 0.0
# File (18_D_6.wav):
# - 2.3460625 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'when is east e sunday this year'
# - processed in 2.386 seconds.
# - WER = 0.333
# File (18_E_1.wav):
# - 2.4956875 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'at mercan chese to my shoppinglest'
# - processed in 2.553 seconds.
# - WER = 0.75
# File (18_E_2.wav):
# - 1.927 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'create a new uppointment'
# - processed in 1.94 seconds.
# - WER = 0.25
# File (18_E_3.wav):
# - 5.53875 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'put tuctor smith on my colendo for nineteenth of chuliat five pm'
# - processed in 5.717 seconds.
# - WER = 0.308
# File (18_E_4.wav):
# - 3.065625 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'remind me to move the long next setuday'
# - processed in 3.114 seconds.
# - WER = 0.375
# File (18_E_5.wav):
# - 3.0344375 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'what remindes to i have forthers wek and'
# - processed in 3.073 seconds.
# - WER = 0.625
# File (18_F_1.wav):
# - 2.3260625 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'give me optacles about polidics'
# - processed in 2.36 seconds.
# - WER = 0.4
# File (18_F_2.wav):
# - 1.5179375 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'e tell me the news'
# - processed in 1.538 seconds.
# - WER = 0.25
# File (18_F_3.wav):
# - 1.5578125 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'what happened to day'
# - processed in 1.565 seconds.
# - WER = 0.667
# File (18_F_4.wav):
# - 3.12425 seconds long.
# - actual    text: 'which news topic are available'
# - processed text: 'which use topic are avaiable'
# - processed in 3.132 seconds.
# - WER = 0.4
# File (18_F_5.wav):
# - 3.3836875 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'said business as preferred nuws ceregory'
# - processed in 3.437 seconds.
# - WER = 0.5
# File (18_F_6.wav):
# - 2.5455625 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'i'lt dust the ews skill werk'
# - processed in 2.553 seconds.
# - WER = 0.667
# File (18_F_7.wav):
# - 2.306125 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'wit a rain to day in mentchoster'
# - processed in 2.358 seconds.
# - WER = 0.833
# File (18_F_8.wav):
# - 3.8625625 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'what's the weather going to be at like on sunday'
# - processed in 3.958 seconds.
# - WER = 0.1
# File (18_F_9.wav):
# - 2.356 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'do a need an umbrella to morrow'
# - processed in 2.403 seconds.
# - WER = 0.5
# File (18_G_1.wav):
# - 3.9823125 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'how long does it take from london to live wold by car'
# - processed in 4.113 seconds.
# - WER = 0.182
# File (18_G_2.wav):
# - 5.2295 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'said miht loocation to cennington roade for london'
# - processed in 5.354 seconds.
# - WER = 0.778
# File (18_G_3.wav):
# - 2.206375 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i need help with novigation'
# - processed in 2.217 seconds.
# - WER = 0.2
# File (18_G_4.wav):
# - 3.403625 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'what rest arants are within five kitomedus'
# - processed in 3.437 seconds.
# - WER = 0.5
# File (18_G_5.wav):
# - 3.184125 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'o far is it to the university of oxfort'
# - processed in 3.259 seconds.
# - WER = 0.222
# File (18_G_6.wav):
# - 4.2616875 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'along dosit take from budding him pelace to tow of london ond fruot'
# - processed in 4.358 seconds.
# - WER = 0.714
# File (18_G_7.wav):
# - 2.7151875 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'find me a burgerest aron nerby'
# - processed in 2.731 seconds.
# - WER = 0.5
# File (18_G_8.wav):
# - 3.9324375 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'what's the address of the nearest tesqco store'
# - processed in 4.02 seconds.
# - WER = 0.111
# File (18_H_1.wav):
# - 2.8249375 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many feet are in a mire'
# - processed in 2.83 seconds.
# - WER = 0.143
# File (18_H_2.wav):
# - 3.116375 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what seven times fortyfour'
# - processed in 3.144 seconds.
# - WER = 0.5
# File (18_H_3.wav):
# - 3.693 seconds long.
# - actual    text: 'what's two hundred and twenty five divided by five'
# - processed text: 'what's too hundred and twenty five divided by five'
# - processed in 3.785 seconds.
# - WER = 0.1
# File (18_H_4.wav):
# - 3.0943125 seconds long.
# - actual    text: 'what's fifteen percent of one hundred twenty eight'
# - processed text: 'what's fifty percent of one hundred trenty eight'
# - processed in 3.162 seconds.
# - WER = 0.222
# File (18_H_5.wav):
# - 3.842625 seconds long.
# - actual    text: 'is three hundred thirty seven a prime number'
# - processed text: 'is three harnded thirty seven af prime number'
# - processed in 3.916 seconds.
# - WER = 0.25
# File (18_I_1.wav):
# - 1.976875 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what's the divinition of cat'
# - processed in 2.01 seconds.
# - WER = 0.167
# File (18_I_2.wav):
# - 2.296125 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'what does to shame me'
# - processed in 2.335 seconds.
# - WER = 0.4
# File (18_I_3.wav):
# - 1.9469375 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'i'll do you spell fate'
# - processed in 1.971 seconds.
# - WER = 0.6
# File (18_I_4.wav):
# - 2.5755 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'tell me works that start with e nay'
# - processed in 2.617 seconds.
# - WER = 0.375
# File (18_I_5.wav):
# - 4.293125 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'which were contained sea o and'
# - processed in 4.335 seconds.
# - WER = 0.667
# File (18_I_6.wav):
# - 2.0566875 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'can you translate cat'
# - processed in 2.092 seconds.
# - WER = 0.0
# File (18_I_7.wav):
# - 2.096625 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what is tark an gharman'
# - processed in 2.11 seconds.
# - WER = 0.6
# File (18_I_8.wav):
# - 3.513375 seconds long.
# - actual    text: 'set the number of words for translations to three'
# - processed text: 'set the nombe for its for translations to three'
# - processed in 3.584 seconds.
# - WER = 0.333
# File (18_I_9.wav):
# - 2.625375 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'what is another word for dashboard'
# - processed in 2.662 seconds.
# - WER = 0.0
# File (18_J_1.wav):
# - 2.8848125 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'turn on the living room lights lease'
# - processed in 2.898 seconds.
# - WER = 0.143
# File (18_J_2.wav):
# - 4.1519375 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'set the temperature in the kitchen to twenty two degre'
# - processed in 4.349 seconds.
# - WER = 0.1
# File (18_J_3.wav):
# - 2.8249375 seconds long.
# - actual    text: 'set the shutters to fifty percent'
# - processed text: 'set the shotess to fifty percent'
# - processed in 2.847 seconds.
# - WER = 0.167
# File (18_J_4.wav):
# - 2.735125 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'plese lower the blind by half'
# - processed in 2.783 seconds.
# - WER = 0.333
# File (18_K_1.wav):
# - 2.1764375 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'how old is queen alizabeth'
# - processed in 2.186 seconds.
# - WER = 0.2
# File (18_K_10.wav):
# - 1.8471875 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'do you like to travel'
# - processed in 1.866 seconds.
# - WER = 0.0
# File (18_K_11.wav):
# - 2.086625 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of music do you like '
# - processed in 2.119 seconds.
# - WER = 0.0
# File (18_K_2.wav):
# - 2.7251875 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'il many people let in a stralia'
# - processed in 2.773 seconds.
# - WER = 0.667
# File (18_K_3.wav):
# - 3.3138125 seconds long.
# - actual    text: 'what's the hay of the eiffel tower'
# - processed text: 'what's the hay of the iful tower'
# - processed in 3.353 seconds.
# - WER = 0.125
# File (18_K_4.wav):
# - 2.8149375 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'how long is the river don mobin'
# - processed in 2.832 seconds.
# - WER = 0.333
# File (18_K_5.wav):
# - 3.58325 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alps'
# - processed text: 'how tall is tho tallist mountain in the outs'
# - processed in 3.663 seconds.
# - WER = 0.333
# File (18_K_6.wav):
# - 2.69525 seconds long.
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'which movies that tom cruise play on'
# - processed in 2.743 seconds.
# - WER = 0.286
# File (18_K_7.wav):
# - 1.8970625 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'what do you dream about'
# - processed in 1.92 seconds.
# - WER = 0.0
# File (18_K_8.wav):
# - 2.02675 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'what's your favorite color'
# - processed in 2.05 seconds.
# - WER = 0.4
# File (18_K_9.wav):
# - 2.745125 seconds long.
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'what do you do when i'm not at home'
# - processed in 2.776 seconds.
# - WER = 0.0
# File (19_A_1.wav):
# - 2.317375 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'a femare turn on the lights'
# - processed in 2.333 seconds.
# - WER = 0.4
# File (19_A_2.wav):
# - 2.28275 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'minere turn on te lights'
# - processed in 2.297 seconds.
# - WER = 0.4
# File (19_A_3.wav):
# - 1.96 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'a teammiss torn on belit'
# - processed in 1.979 seconds.
# - WER = 1.0
# File (19_A_4.wav):
# - 2.0139375 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'ria turn on the lights'
# - processed in 2.041 seconds.
# - WER = 0.2
# File (19_A_5.wav):
# - 2.017875 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'chames to an un velights'
# - processed in 2.038 seconds.
# - WER = 1.0
# File (19_A_6.wav):
# - 2.181875 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'computer turn on wilights'
# - processed in 2.183 seconds.
# - WER = 0.4
# File (19_B_1.wav):
# - 1.9329375 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'you and yout'
# - processed in 1.949 seconds.
# - WER = 1.5
# File (19_B_2.wav):
# - 1.816125 seconds long.
# - actual    text: 'stop abort'
# - processed text: ' stop a port'
# - processed in 1.819 seconds.
# - WER = 1.0
# File (19_B_3.wav):
# - 1.65 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'pose presume'
# - processed in 1.655 seconds.
# - WER = 1.0
# File (19_B_4.wav):
# - 1.71 seconds long.
# - actual    text: 'next back'
# - processed text: 'makes beck'
# - processed in 1.708 seconds.
# - WER = 1.0
# File (19_B_5.wav):
# - 0.74 seconds long.
# - actual    text: 'louder'
# - processed text: 'lowader'
# - processed in 0.75 seconds.
# - WER = 1.0
# File (19_B_6.wav):
# - 1.5593125 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'tun weforeumed down'
# - processed in 1.553 seconds.
# - WER = 0.75
# File (19_B_7.wav):
# - 1.8861875 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'set moreyan to shix'
# - processed in 1.885 seconds.
# - WER = 0.5
# File (19_C_1.wav):
# - 2.262625 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'lay some usic bapon chovy'
# - processed in 2.288 seconds.
# - WER = 0.833
# File (19_C_2.wav):
# - 2.96 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'blame my eighti throck playlist now'
# - processed in 2.985 seconds.
# - WER = 0.5
# File (19_C_3.wav):
# - 2.28 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'what song is currently playing'
# - processed in 2.326 seconds.
# - WER = 0.0
# File (19_C_4.wav):
# - 2.26 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'please et the song to my favorites'
# - processed in 2.315 seconds.
# - WER = 0.429
# File (19_C_5.wav):
# - 2.41 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'what can i do with you usiccure'
# - processed in 2.425 seconds.
# - WER = 0.375
# File (19_D_1.wav):
# - 3.367375 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'seit down alarme for  five e m please'
# - processed in 3.402 seconds.
# - WER = 0.714
# File (19_D_2.wav):
# - 2.812 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time as left on my plitza time up'
# - processed in 2.862 seconds.
# - WER = 0.444
# File (19_D_3.wav):
# - 3.572125 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remind me of the tennist raining to light at five'
# - processed in 3.648 seconds.
# - WER = 0.444
# File (19_D_4.wav):
# - 1.6 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'cancell oi my time of'
# - processed in 1.614 seconds.
# - WER = 1.0
# File (19_D_5.wav):
# - 1.05 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's for dat'
# - processed in 1.058 seconds.
# - WER = 0.5
# File (19_D_6.wav):
# - 2.28 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'when is east er sunday tis yeur'
# - processed in 2.296 seconds.
# - WER = 0.667
# File (19_E_1.wav):
# - 2.63 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'at mod and cheese to my shopping tes'
# - processed in 2.684 seconds.
# - WER = 0.375
# File (19_E_2.wav):
# - 1.85 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'greate and new appointment'
# - processed in 1.858 seconds.
# - WER = 0.5
# File (19_E_3.wav):
# - 6.0621875 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'to doctor slisf on ly calandar for nineteenth of two li at five pem'
# - processed in 6.317 seconds.
# - WER = 0.538
# File (19_E_4.wav):
# - 4.2656875 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'remind me to mo welong nex sother tay'
# - processed in 4.282 seconds.
# - WER = 0.625
# File (19_E_5.wav):
# - 3.10375 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'wat thremindes tog i have for thi sweakent'
# - processed in 3.127 seconds.
# - WER = 0.625
# File (19_F_1.wav):
# - 3.01425 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'give me orti gles about pulitics'
# - processed in 3.038 seconds.
# - WER = 0.6
# File (19_F_2.wav):
# - 1.432625 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'tell me rin use'
# - processed in 1.449 seconds.
# - WER = 0.5
# File (19_F_3.wav):
# - 1.5726875 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'what happened to day'
# - processed in 1.589 seconds.
# - WER = 0.667
# File (19_F_4.wav):
# - 2.86525 seconds long.
# - actual    text: 'which news topics are available'
# - processed text: 'rich news tuplics are away theple'
# - processed in 2.873 seconds.
# - WER = 0.8
# File (19_F_5.wav):
# - 3.506125 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'said bisiness as preferred news cetegory'
# - processed in 3.554 seconds.
# - WER = 0.5
# File (19_F_6.wav):
# - 2.1176875 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'how a dost we news scareer'
# - processed in 2.129 seconds.
# - WER = 0.833
# File (19_F_7.wav):
# - 2.495875 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'whe it's ran to day and menturster'
# - processed in 2.519 seconds.
# - WER = 1.167
# File (19_F_8.wav):
# - 3.3295 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'what's fevever going to be like on sunday'
# - processed in 3.569 seconds.
# - WER = 0.2
# File (19_F_9.wav):
# - 3.0268125 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'do a need an apralla to morrow'
# - processed in 3.079 seconds.
# - WER = 0.667
# File (19_G_1.wav):
# - 3.7456875 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'how long does it take from london to live a pol pi car'
# - processed in 3.846 seconds.
# - WER = 0.364
# File (19_G_2.wav):
# - 4.02225 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'a sat my location to kellice roade for and london'
# - processed in 4.102 seconds.
# - WER = 0.667
# File (19_G_3.wav):
# - 2.3520625 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i need halpo wis novlication'
# - processed in 2.374 seconds.
# - WER = 0.6
# File (19_G_4.wav):
# - 3.4605 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'what drest arounds are missen five culmatos'
# - processed in 3.498 seconds.
# - WER = 0.667
# File (19_G_5.wav):
# - 3.455 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'how far is it to well university of oxport'
# - processed in 3.49 seconds.
# - WER = 0.222
# File (19_G_6.wav):
# - 4.428875 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'how long dos itake from acking ham pellas to tow off landon on food'
# - processed in 4.513 seconds.
# - WER = 0.714
# File (19_G_7.wav):
# - 2.6488125 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'find me a beggar rest uront nearby'
# - processed in 2.674 seconds.
# - WER = 0.5
# File (19_G_8.wav):
# - 3.1719375 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'what's ther a tress of en erest tesq costor'
# - processed in 3.192 seconds.
# - WER = 0.778
# File (19_H_1.wav):
# - 2.227125 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many feet are in a mile'
# - processed in 2.233 seconds.
# - WER = 0.0
# File (19_H_2.wav):
# - 2.159125 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what seven times fharty four'
# - processed in 2.177 seconds.
# - WER = 0.333
# File (19_H_3.wav):
# - 3.38 seconds long.
# - actual    text: 'what's two hundred and twenty five divided by five'
# - processed text: 'what's to undred and twenty five tivided by five'
# - processed in 3.44 seconds.
# - WER = 0.3
# File (19_H_4.wav):
# - 4.0051875 seconds long.
# - actual    text: 'what's fifteen percent of two hundred and twenty eight'
# - processed text: 'what's fifteen percent of two hundred and twenty eight'
# - processed in 4.191 seconds.
# - WER = 0.0
# File (19_H_5.wav):
# - 3.47 seconds long.
# - actual    text: 'is three hundred and thirty seven a prime number'
# - processed text: 'its hree hundred and cirty seven a prime number'
# - processed in 3.537 seconds.
# - WER = 0.333
# File (19_I_1.wav):
# - 2.02325 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what's the definition of cat'
# - processed in 2.07 seconds.
# - WER = 0.0
# File (19_I_2.wav):
# - 1.7215 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'what thus to shar me'
# - processed in 1.744 seconds.
# - WER = 0.6
# File (19_I_3.wav):
# - 1.56 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'how do you spaye tate'
# - processed in 1.56 seconds.
# - WER = 0.4
# File (19_I_4.wav):
# - 2.26 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'tel me berds with start withtan ai'
# - processed in 2.303 seconds.
# - WER = 0.75
# File (19_I_5.wav):
# - 3.12 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'bhich verts containd seed oh n'
# - processed in 3.141 seconds.
# - WER = 0.833
# File (19_I_6.wav):
# - 1.919125 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'kan you dran slate ket'
# - processed in 1.926 seconds.
# - WER = 1.0
# File (19_I_7.wav):
# - 2.0053125 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what the stock and chermin'
# - processed in 2.035 seconds.
# - WER = 0.8
# File (19_I_8.wav):
# - 3.9853125 seconds long.
# - actual    text: 'set the number of words for translation to three'
# - processed text: 'set to the number of wirds for translation to shree'
# - processed in 4.123 seconds.
# - WER = 0.333
# File (19_I_9.wav):
# - 2.8755 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'what is another bird for deshport'
# - processed in 2.9 seconds.
# - WER = 0.333
# File (19_J_1.wav):
# - 2.3711875 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'turn on tih living room lights please'
# - processed in 2.423 seconds.
# - WER = 0.143
# File (19_J_2.wav):
# - 3.741375 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'said to the temperaturl the kitchen to a trenty two degrees'
# - processed in 3.871 seconds.
# - WER = 0.6
# File (19_J_3.wav):
# - 2.87 seconds long.
# - actual    text: 'set the shutters to fifty percent'
# - processed text: 'set to his shatter too fifty per cent'
# - processed in 2.886 seconds.
# - WER = 1.0
# File (19_J_4.wav):
# - 2.15 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'please lower the blinds spy half'
# - processed in 2.157 seconds.
# - WER = 0.167
# File (19_K_1.wav):
# - 1.9184375 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'how ow discrean ilizabeth'
# - processed in 1.921 seconds.
# - WER = 0.8
# File (19_K_10.wav):
# - 1.6800625 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'do r like to drevel'
# - processed in 1.713 seconds.
# - WER = 0.4
# File (19_K_11.wav):
# - 2.3584375 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of use it do you like'
# - processed in 2.382 seconds.
# - WER = 0.286
# File (19_K_2.wav):
# - 2.23 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'how many people liften ose traly on'
# - processed in 2.244 seconds.
# - WER = 0.667
# File (19_K_3.wav):
# - 2.5143125 seconds long.
# - actual    text: 'what's the height of the eiffel tower'
# - processed text: 'what's her height of them i ve of tower'
# - processed in 2.538 seconds.
# - WER = 0.625
# File (19_K_4.wav):
# - 2.1940625 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'how long as river than lupe'
# - processed in 2.204 seconds.
# - WER = 0.667
# File (19_K_5.wav):
# - 2.7679375 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alps'
# - processed text: 'how it tol is with tornes mountain in vieyonds'
# - processed in 2.807 seconds.
# - WER = 0.667
# File (19_K_6.wav):
# - 2.635875 seconds long.
