Loading inference model from files models/output_graph.pbLoaded inference model in 0.259s.Loading language model from files models/alphabet.txt models/trieLoaded language model in 22.4s.# File (1089-134686-0000.flac):
# - 11.41 seconds long.
# - actual    text: 'don't know well of all things inwardly commented miss taylor literally born in cotton and oh well as much as to ask what's the use she turned again to go'
# - processed text: 'don't know well of all things and would be commented miss taylor letter re born in cotton and a well as much as to ask what's the use she turned again to go'
# - processed in 64.453 seconds.
# - WER = 0.188
# File (1995-1826-0022.flac):
# - 4.745 seconds long.
# - actual    text: 'i suppose though it's too early for them then came the explosion'
# - processed text: 'i suppose though it's too early for them then came the explosion'
# - processed in 26.737 seconds.
# - WER = 0.0
# File (1995-1826-0023.flac):
# - 8.14 seconds long.
# - actual    text: 'goobers don't grow on the tops of vines but underground on the roots like yams is that so'
# - processed text: 'goes don't go on the taps a bas but on the ground in the ruts like james is that so'
# - processed in 45.602 seconds.
# - WER = 0.579
# File (1995-1826-0024.flac):
# - 5.095 seconds long.
# - actual    text: 'the golden fleece it's the silver fleece he harkened'
# - processed text: 'the golden fleece is the self of fleece he hardened'
# - processed in 28.372 seconds.
# - WER = 0.4
# File (1995-1826-0025.flac):
# - 3.295 seconds long.
# - actual    text: 'some time you'll tell me please won't you'
# - processed text: 'some time you tell me please won't you'
# - processed in 18.485 seconds.
# - WER = 0.1
# File (1995-1826-0026.flac):
# - 15.45 seconds long.
# - actual    text: 'now for one little half hour she had been a woman talking to a boy no not even that she had been talking just talking there were no persons in the conversation just things one thing cotton'
# - processed text: 'now for one little half hour she had been a woman talking to a boy no not even that she had been talking just talking there were no persons in the conversation just things one thing caught in'
# - processed in 87.749 seconds.
# - WER = 0.054
# File (2094-142345-0000.flac):
# - 22.57 seconds long.
# - actual    text: 'it is a very fine old place of red brick softened by a pale powdery lichen which has dispersed itself with happy irregularity so as to bring the red brick into terms of friendly companionship with the limestone ornaments surrounding the three gables the windows and the door place'
# - processed text: 'it is a very fine old place of red brick softened by a pale powdery like in which has dispersed itself with happy irregularity so as to bring the red brick into terms of friendly companionship with a limestone ornaments surrounding the three gables the windows and the door place'
# - processed in 127.652 seconds.
# - WER = 0.061
# File (2094-142345-0001.flac):
# - 8.03 seconds long.
# - actual    text: 'but the windows are patched with wooden panes and the door i think is like the gate it is never opened'
# - processed text: 'to the windows are patched with wooden pans and the door i think is like the gate it is never opened'
# - processed in 45.231 seconds.
# - WER = 0.095
# File (2094-142345-0002.flac):
# - 15.52 seconds long.
# - actual    text: 'for it is a solid heavy handsome door and must once have been in the habit of shutting with a sonorous bang behind a liveried lackey who had just seen his master and mistress off the grounds in a carriage and pair'
# - processed text: 'for it is a solid heavy handsome door and must once have been in the habit of shedding with a sonorous bang behind the livery blackie who had just seen his master and mistress of the grounds in a carriage and pair'
# - processed in 87.157 seconds.
# - WER = 0.119
# File (2094-142345-0003.flac):
# - 14.675 seconds long.
# - actual    text: 'a large open fireplace with rusty dogs in it and a bare boarded floor at the far end fleeces of wool stacked up in the middle of the floor some empty corn bags'
# - processed text: 'a large open fireplace with rusty dogs in it and a bare boarded floor at the far end fleeces of wolves stacked up in the middle of the floor some empty corn bags'
# - processed in 82.203 seconds.
# - WER = 0.03
# File (2094-142345-0004.flac):
# - 2.64 seconds long.
# - actual    text: 'and what through the left hand window'
# - processed text: 'and what through the left hand window'
# - processed in 15.043 seconds.
# - WER = 0.0
# File (2094-142345-0005.flac):
# - 9.09 seconds long.
# - actual    text: 'several clothes horses a pillion a spinning wheel and an old box wide open and stuffed full of coloured rags'
# - processed text: 'several clothes horses a pillion a spinning wheel and an old box wide open and stuffed full of coloured rags'
# - processed in 50.78 seconds.
# - WER = 0.0
# File (2094-142345-0006.flac):
# - 13.82 seconds long.
# - actual    text: 'at the edge of this box there lies a great wooden doll which so far as mutilation is concerned bears a strong resemblance to the finest greek sculpture and especially in the total loss of its nose'
# - processed text: 'at the edge of this spot their lies a great wooden doll which so far as mutilation is concerned there's a strong resemblance to the finest greek sculpture and especially in the total loss of its nose'
# - processed in 78.048 seconds.
# - WER = 0.108
# File (2094-142345-0007.flac):
# - 2.7 seconds long.
# - actual    text: 'the history of the house is plain now'
# - processed text: 'the history of the house is plain now'
# - processed in 15.337 seconds.
# - WER = 0.0
# File (2094-142345-0008.flac):
# - 31.65 seconds long.
# - actual    text: 'but there is always a stronger sense of life when the sun is brilliant after rain and now he is pouring down his beams and making sparkles among the wet straw and lighting up every patch of vivid green moss on the red tiles of the cow shed and turning even the muddy water that is hurrying along the channel to the drain into a mirror for the yellow billed ducks who are seizing the opportunity of getting a drink with as much body in it as possible'
# - processed text: 'but there is always a stronger sense of life when the sun is brilliant after rain and now he is pouring down his beams and taking sparkles among the wet straw and lighting up every patch of vivid green moss on the red tiles of the cowshed and turning even the muddy water that is hurrying along the channel to the drain into a mirror for the yellow bull ducks who were seizing the opportunity of getting a drink with as much body in it as possible'
# - processed in 179.958 seconds.
# - WER = 0.057
# File (2094-142345-0009.flac):
# - 14.405 seconds long.
# - actual    text: 'for the great barn doors are thrown wide open and men are busy there mending the harness under the superintendence of mister goby the whittaw otherwise saddler who entertains them with the latest treddleston gossip'
# - processed text: 'where the great barn doors are thrown wide open and men are busy there mending the harness under the superintendence of mister gaby the wide otherwise sadler who entertains them with a latest treddleton gossip'
# - processed in 82.0 seconds.
# - WER = 0.171
# File (2094-142345-0010.flac):
# - 30.615 seconds long.
# - actual    text: 'hetty sorrel often took the opportunity when her aunt's back was turned of looking at the pleasing reflection of herself in those polished surfaces for the oak table was usually turned up like a screen and was more for ornament than for use and she could see herself sometimes in the great round pewter dishes that were ranged on the shelves above the long deal dinner table or in the hobs of the grate which always shone like jasper'
# - processed text: 'had he sir often took the opportunity when her aunt's back was turned of looking at the pleasing reflection of herself in those polished services for the oak table was usually turned up like a screen and was more for ornament than for use and she could see herself sometimes in the great round peter dishes there were ranged on the shelves above the long deal dinner table or in the hobs of the great which always shone like jasper'
# - processed in 173.738 seconds.
# - WER = 0.088
# File (2094-142345-0011.flac):
# - 16.26 seconds long.
# - actual    text: 'do not suppose however that missus poyser was elderly or shrewish in her appearance she was a good looking woman not more than eight and thirty of fair complexion and sandy hair well shapen light footed'
# - processed text: 'do not suppose however that missus poyser was elderly or shrewish in her appearance she was a good looking woman not more than eight and thirty a fair complexion and sandy hair well shapen light footed'
# - processed in 92.407 seconds.
# - WER = 0.028
# File (2094-142345-0012.flac):
# - 16.13 seconds long.
# - actual    text: 'the family likeness between her and her niece dinah morris with the contrast between her keenness and dinah's seraphic gentleness of expression might have served a painter as an excellent suggestion for a martha and mary'
# - processed text: 'the family likeness between her and her niece in a morris with a contrast between her keenness and dines seraphic gentleness of expression might have served a painter as an excellent suggestion for a martha and mary'
# - processed in 91.104 seconds.
# - WER = 0.135
# File (2094-142345-0013.flac):
# - 14.25 seconds long.
# - actual    text: 'her tongue was not less keen than her eye and whenever a damsel came within earshot seemed to take up an unfinished lecture as a barrel organ takes up a tune precisely at the point where it had left off'
# - processed text: 'her tongue was not less keen than her eye and whenever a damsel came with a shot seemed to take up an unfinished lecture as a barrel organ takes up a tune precisely at the point where it had left off'
# - processed in 80.603 seconds.
# - WER = 0.075
# File (2094-142345-0014.flac):
# - 12.995 seconds long.
# - actual    text: 'the fact that it was churning day was another reason why it was inconvenient to have the whittaws and why consequently missus poyser should scold molly the housemaid with unusual severity'
# - processed text: 'the fact that it was turning day was another reason why it was inconvenient to have the widow and why consequently missus poyser should scold molly the housemaid with unusual severity'
# - processed in 73.29 seconds.
# - WER = 0.065
# File (2094-142345-0015.flac):
# - 15.015 seconds long.
# - actual    text: 'to all appearance molly had got through her after dinner work in an exemplary manner had cleaned herself with great dispatch and now came to ask submissively if she should sit down to her spinning till milking time'
# - processed text: 'to all appearance molly had got through her after dinner work in an exemplary manner had cleaned herself with great dispatch and now came to ask submissively if she should sit down to her spinning till milking time'
# - processed in 84.982 seconds.
# - WER = 0.0
# File (2094-142345-0016.flac):
# - 2.26 seconds long.
# - actual    text: 'spinning indeed'
# - processed text: 'spinning indeed'
# - processed in 12.645 seconds.
# - WER = 0.0
# File (2094-142345-0017.flac):
# - 2.835 seconds long.
# - actual    text: 'i never knew your equals for gallowsness'
# - processed text: 'i never knew your equals for gallows ness'
# - processed in 16.031 seconds.
# - WER = 0.286
# File (2094-142345-0018.flac):
# - 3.155 seconds long.
# - actual    text: 'who taught you to scrub a floor i should like to know'
# - processed text: 'who taught you to scrub a floor i should like to know'
# - processed in 18.043 seconds.
# - WER = 0.0
# File (2094-142345-0019.flac):
# - 2.66 seconds long.
# - actual    text: 'comb the wool for the whittaws indeed'
# - processed text: 'come the wall for the widows indeed'
# - processed in 15.041 seconds.
# - WER = 0.429
# File (2094-142345-0020.flac):
# - 2.435 seconds long.
# - actual    text: 'that's what you'd like to be doing is it'
# - processed text: 'that's what she'd like to be doing is it'
# - processed in 13.885 seconds.
# - WER = 0.091
# File (2094-142345-0021.flac):
# - 5.335 seconds long.
# - actual    text: 'that's the way with you that's the road you'd all like to go headlongs to ruin'
# - processed text: 'that's the way with you that's the rod you all like to go headlong to ruin'
# - processed in 30.157 seconds.
# - WER = 0.158
# File (2094-142345-0022.flac):
# - 2.28 seconds long.
# - actual    text: 'mister ottley's indeed'
# - processed text: 'mister ole's indeed'
# - processed in 12.915 seconds.
# - WER = 0.25
# File (2094-142345-0023.flac):
# - 5.18 seconds long.
# - actual    text: 'you're a rare un for sitting down to your work a little while after it's time to put by'
# - processed text: 'you are a rare and pre sitting down to your work a little mile after its time to put by'
# - processed in 29.044 seconds.
# - WER = 0.238
# File (2094-142345-0024.flac):
# - 5.27 seconds long.
# - actual    text: 'munny my iron's twite told pease put it down to warm'
# - processed text: 'money myron's tripod these put it down to warm'
# - processed in 29.264 seconds.
# - WER = 0.5
# File (2094-142345-0025.flac):
# - 3.595 seconds long.
# - actual    text: 'cold is it my darling bless your sweet face'
# - processed text: 'cold is it my darling bless your sweet face'
# - processed in 20.412 seconds.
# - WER = 0.0
# File (2094-142345-0026.flac):
# - 2.825 seconds long.
# - actual    text: 'she's going to put the ironing things away'
# - processed text: 'she's going to put the ironing things away'
# - processed in 15.771 seconds.
# - WER = 0.0
# File (2094-142345-0027.flac):
# - 5.63 seconds long.
# - actual    text: 'munny i tould ike to do into de barn to tommy to see de whittawd'
# - processed text: 'money i delight to do into the barn to tommy to see the wide and'
# - processed in 31.732 seconds.
# - WER = 0.467
# File (2094-142345-0028.flac):
# - 6.84 seconds long.
# - actual    text: 'no no no totty ud get her feet wet said missus poyser carrying away her iron'
# - processed text: 'no no no tatty ditter feet wet said missus poyser carrying away her iron'
# - processed in 38.699 seconds.
# - WER = 0.25
# File (2094-142345-0029.flac):
# - 8.525 seconds long.
# - actual    text: 'did ever anybody see the like screamed missus poyser running towards the table when her eye had fallen on the blue stream'
# - processed text: 'did ever anybody see the like screamed missus poyser running towards the table when her eye had fallen on the blue stream'
# - processed in 48.083 seconds.
# - WER = 0.0
# File (2094-142345-0030.flac):
# - 16.12 seconds long.
# - actual    text: 'totty however had descended from her chair with great swiftness and was already in retreat towards the dairy with a sort of waddling run and an amount of fat on the nape of her neck which made her look like the metamorphosis of a white suckling pig'
# - processed text: 'paddy however had descended from her chair with great swiftness and was already in retreat towards the dairy with a sort of waddling run and an amount of fat on the nape of her neck which made her look like the metamorphosis of a white suckling pig'
# - processed in 90.923 seconds.
# - WER = 0.021
# File (2094-142345-0031.flac):
# - 2.78 seconds long.
# - actual    text: 'and she was very fond of you too aunt rachel'
# - processed text: 'and she was very fond of you too and rachel'
# - processed in 15.804 seconds.
# - WER = 0.1
# File (2094-142345-0032.flac):
# - 3.24 seconds long.
# - actual    text: 'i often heard her talk of you in the same sort of way'
# - processed text: 'i often heard her talk of you in the same sort of way'
# - processed in 18.286 seconds.
# - WER = 0.0
# File (2094-142345-0033.flac):
# - 12.865 seconds long.
# - actual    text: 'when she had that bad illness and i was only eleven years old she used to say you'll have a friend on earth in your aunt rachel if i'm taken from you for she has a kind heart and i'm sure i've found it so'
# - processed text: 'which he had that bad illness and i was only eleven years old she used to say you'll have a friend in earth in your aunt rachel if i am taken from you for she has a kind heart and i'm sure i've found it so'
# - processed in 73.26 seconds.
# - WER = 0.061
# File (2094-142345-0034.flac):
# - 7.99 seconds long.
# - actual    text: 'and there's linen in the house as i could well spare you for i've got lots o sheeting and table clothing and towelling as isn't made up'
# - processed text: 'and there's linen in the house as i could well spare you for i got lots of sheeting and table clothing and tolling is a mad'
# - processed in 45.324 seconds.
# - WER = 0.233
# File (2094-142345-0035.flac):
# - 3.575 seconds long.
# - actual    text: 'but not more than what's in the bible aunt said dinah'
# - processed text: 'but not more than what's in the bible and said diana'
# - processed in 20.455 seconds.
# - WER = 0.167
# File (2094-142345-0036.flac):
# - 6.915 seconds long.
# - actual    text: 'nay dear aunt you never heard me say that all people are called to forsake their work and their families'
# - processed text: 'marian you never heard me say that all people are called to forsake their work in their families'
# - processed in 38.929 seconds.
# - WER = 0.2
# File (2094-142345-0037.flac):
# - 10.49 seconds long.
# - actual    text: 'we can all be servants of god wherever our lot is cast but he gives us different sorts of work according as he fits us for it and calls us to it'
# - processed text: 'we can all be servants of god wherever our lot is cast but he gives us different sorts of work according as he fits us for it and calls us to it'
# - processed in 59.542 seconds.
# - WER = 0.0
# File (2094-142345-0038.flac):
# - 20.25 seconds long.
# - actual    text: 'i can no more help spending my life in trying to do what i can for the souls of others than you could help running if you heard little totty crying at the other end of the house the voice would go to your heart you would think the dear child was in trouble or in danger and you couldn't rest without running to help her and comfort her'
# - processed text: 'i can no more help spending my life in trying to do what i can for the souls of others then you could help running if you heard little toddy crying at the other end of the house the voice would go to your heart you would think the dear of child was in trouble or in danger and you couldn't rest without running to help her and comfort her'
# - processed in 114.977 seconds.
# - WER = 0.043
# File (2094-142345-0039.flac):
# - 6.28 seconds long.
# - actual    text: 'i've strong assurance that no evil will happen to you and my uncle and the children from anything i've done'
# - processed text: 'i've strong assurance that no evil will happen to you and my uncle in the children for anything i have done'
# - processed in 35.893 seconds.
# - WER = 0.091
# File (2094-142345-0040.flac):
# - 2.385 seconds long.
# - actual    text: 'i didn't preach without direction'
# - processed text: 'i didn't preach without direction'
# - processed in 13.58 seconds.
# - WER = 0.0
# File (2094-142345-0041.flac):
# - 1.42 seconds long.
# - actual    text: 'direction'
# - processed text: 'direction'
# - processed in 8.054 seconds.
# - WER = 0.0
# File (2094-142345-0042.flac):
# - 2.455 seconds long.
# - actual    text: 'i hanna common patience with you'
# - processed text: 'i had a common patience with you'
# - processed in 13.756 seconds.
# - WER = 0.333
# File (2094-142345-0043.flac):
# - 7.35 seconds long.
# - actual    text: 'by this time the two gentlemen had reached the palings and had got down from their horses it was plain they meant to come in'
# - processed text: 'by this time the two gentlemen had reached the palings and had got down from their horses it was plain they meant to come in'
# - processed in 41.553 seconds.
# - WER = 0.0
# File (2094-142345-0044.flac):
# - 3.52 seconds long.
# - actual    text: 'said mister irwine with his stately cordiality'
# - processed text: 'said mister erwin with his stately cordiality'
# - processed in 19.699 seconds.
# - WER = 0.143
# File (2094-142345-0045.flac):
# - 3.005 seconds long.
# - actual    text: 'oh sir don't mention it said missus poyser'
# - processed text: 'oh curtailment in it said missus poyser'
# - processed in 16.787 seconds.
# - WER = 0.444
# File (2094-142345-0046.flac):
# - 1.905 seconds long.
# - actual    text: 'i delight in your kitchen'
# - processed text: 'i do it in your kitchen'
# - processed in 10.612 seconds.
# - WER = 0.4
# File (2094-142345-0047.flac):
# - 2.21 seconds long.
# - actual    text: 'poyser is not at home is he'
# - processed text: 'poise is not at home is he'
# - processed in 12.38 seconds.
# - WER = 0.143
# File (2094-142345-0048.flac):
# - 6.39 seconds long.
# - actual    text: 'said captain donnithorne seating himself where he could see along the short passage to the open dairy door'
# - processed text: 'said captain donnithorne sitting himself where he could see along the short passage to the open dairy door'
# - processed in 36.152 seconds.
# - WER = 0.056
# File (2094-142345-0049.flac):
# - 6.125 seconds long.
# - actual    text: 'no sir he isn't he's gone to rosseter to see mister west the factor about the wool'
# - processed text: 'no sir he isn't he's gone to rossiter to see mister west the factor about the wall'
# - processed in 34.558 seconds.
# - WER = 0.105
# File (2094-142345-0050.flac):
# - 4.045 seconds long.
# - actual    text: 'but there's father the barn sir if he'd be of any use'
# - processed text: 'but there's father in the barn sir if he'd be of any use'
# - processed in 23.05 seconds.
# - WER = 0.071
# File (2094-142345-0051.flac):
# - 5.31 seconds long.
# - actual    text: 'no thank you i'll just look at the whelps and leave a message about them with your shepherd'
# - processed text: 'no thank you i'll just look at the well and leave a message about them with your shepherd'
# - processed in 29.962 seconds.
# - WER = 0.053
# File (2094-142345-0052.flac):
# - 6.53 seconds long.
# - actual    text: 'i must come another day and see your husband i want to have a consultation with him about horses'
# - processed text: 'i must come another day and see your husband i want to have a consultation with him about horses'
# - processed in 37.008 seconds.
# - WER = 0.0
# File (2094-142345-0053.flac):
# - 3.395 seconds long.
# - actual    text: 'for if he's anywhere on the farm we can send for him in a minute'
# - processed text: 'for it is anywhere in the farm we can send for him in a minute'
# - processed in 19.559 seconds.
# - WER = 0.188
# File (2094-142345-0054.flac):
# - 5.68 seconds long.
# - actual    text: 'oh sir said missus poyser rather alarmed you wouldn't like it at all'
# - processed text: 'oh sir said missus poyser rather alarmed you wouldn't like it at all'
# - processed in 31.728 seconds.
# - WER = 0.0
# File (2094-142345-0055.flac):
# - 2.655 seconds long.
# - actual    text: 'but you know more about that than i do sir'
# - processed text: 'but you know more about that than i do sir'
# - processed in 14.884 seconds.
# - WER = 0.0
# File (2094-142345-0056.flac):
# - 3.84 seconds long.
# - actual    text: 'i think i should be doing you a service to turn you out of such a place'
# - processed text: 'i think i should be doing you a service to turn you out of such a place'
# - processed in 21.886 seconds.
# - WER = 0.0
# File (2094-142345-0057.flac):
# - 10.08 seconds long.
# - actual    text: 'i know his farm is in better order than any other within ten miles of us and as for the kitchen he added smiling i don't believe there's one in the kingdom to beat it'
# - processed text: 'i knows farm is in better order than any other within ten miles of us and as for the kitchen he added smiling i don't believe there is one in the kingdom to beat it'
# - processed in 57.505 seconds.
# - WER = 0.054
# File (2094-142345-0058.flac):
# - 4.93 seconds long.
# - actual    text: 'by the by i've never seen your dairy i must see your dairy missus poyser'
# - processed text: 'by the by i've never seen your dairy i must see your dairy missus poyser'
# - processed in 27.577 seconds.
# - WER = 0.0
# File (2094-142345-0059.flac):
# - 10.01 seconds long.
# - actual    text: 'this missus poyser said blushing and believing that the captain was really interested in her milk pans and would adjust his opinion of her to the appearance of her dairy'
# - processed text: 'this missus poyser said blushing and believing that the captain was really interested in her milk pans and would adjust his opinion of her to the appearance of her dairy'
# - processed in 55.917 seconds.
# - WER = 0.0
# File (2094-142345-0060.flac):
# - 2.71 seconds long.
# - actual    text: 'oh i've no doubt it's in capital order'
# - processed text: 'oh i've no doubt it's in capital order'
# - processed in 15.122 seconds.
# - WER = 0.0
# File (2300-131720-0000.flac):
# - 5.08 seconds long.
# - actual    text: 'the paris plant like that at the crystal palace was a temporary exhibit'
# - processed text: 'the paris plane like that of the crystal palace was a temporary exhibit'
# - processed in 28.052 seconds.
# - WER = 0.154
# File (2300-131720-0001.flac):
# - 14.63 seconds long.
# - actual    text: 'the london plant was less temporary but not permanent supplying before it was torn out no fewer than three thousand lamps in hotels churches stores and dwellings in the vicinity of holborn viaduct'
# - processed text: 'a london flat was last temporary but not permanent supplying before it was torn out no fewer than three thousand lamps in hotels churches stores and dwellings in the vicinity of holborn viaduct'
# - processed in 82.402 seconds.
# - WER = 0.091
# File (2300-131720-0002.flac):
# - 13.115 seconds long.
# - actual    text: 'there messrs johnson and hammer put into practice many of the ideas now standard in the art and secured much useful data for the work in new york of which the story has just been told'
# - processed text: 'there messieurs jonson and hammer i put into practice many of the ideas now standard in the art and secured much useful data for the work in new york of which the story has just been told'
# - processed in 73.583 seconds.
# - WER = 0.083
# File (2300-131720-0003.flac):
# - 16.76 seconds long.
# - actual    text: 'the dynamo electric machine though small was robust for under all the varying speeds of water power and the vicissitudes of the plant to which it belonged it continued in active use until eighteen ninety nine seventeen years'
# - processed text: 'a dynamo electric machine both small was robust for under all the varying speeds of water power and the vicissitudes of the plant to which it belonged a continued in active use until eighteen ninety nine seventeen years'
# - processed in 94.446 seconds.
# - WER = 0.079
# File (2300-131720-0004.flac):
# - 19.91 seconds long.
# - actual    text: 'owing to his insistence on low pressure direct current for use in densely populated districts as the only safe and truly universal profitable way of delivering electrical energy to the consumers edison has been frequently spoken of as an opponent of the alternating current'
# - processed text: 'owing to his insistence on low pressure recurrent for use in densely populated districts as the only safe and truly universal profitable way of delivering electrical energy to the consumers in has been frequently spoken of as an opponent of the alternating current'
# - processed in 112.085 seconds.
# - WER = 0.068
# File (2300-131720-0005.flac):
# - 6.9 seconds long.
# - actual    text: 'why if we erect a station at the falls it is a great economy to get it up to the city'
# - processed text: 'why if we erect a station at the falls it is a great economy to get it up to the city'
# - processed in 39.235 seconds.
# - WER = 0.0
# File (2300-131720-0006.flac):
# - 4.12 seconds long.
# - actual    text: 'there seems no good reason for believing that it will change'
# - processed text: 'there seems no good reason for believing that it will change'
# - processed in 23.207 seconds.
# - WER = 0.0
# File (2300-131720-0007.flac):
# - 13.445 seconds long.
# - actual    text: 'broad as the prairies and free in thought as the winds that sweep them he is idiosyncratically opposed to loose and wasteful methods to plans of empire that neglect the poor at the gate'
# - processed text: 'broad as the prairies and free and thought as the winds that swept them he is ideo and critically opposed to lose and wasteful methods to plans of empire that neglect the poor at the gate'
# - processed in 76.062 seconds.
# - WER = 0.176
# File (2300-131720-0008.flac):
# - 9.125 seconds long.
# - actual    text: 'everything he has done has been aimed at the conservation of energy the contraction of space the intensification of culture'
# - processed text: 'everything he has done has been aimed that the conservation of energy the contraction of space the intensification of culture'
# - processed in 50.861 seconds.
# - WER = 0.05
# File (2300-131720-0009.flac):
# - 9.605 seconds long.
# - actual    text: 'for some years it was not found feasible to operate motors on alternating current circuits and that reason was often urged against it seriously'
# - processed text: 'for some years it was not found feasible to operate motors on alternating current circuits and that reason was often urged against it seriously'
# - processed in 54.037 seconds.
# - WER = 0.0
# File (2300-131720-0010.flac):
# - 10.82 seconds long.
# - actual    text: 'it could not be used for electroplating or deposition nor could it charge storage batteries all of which are easily within the ability of the direct current'
# - processed text: 'it could not be used for electro plating or deposition nor could a charge the ridge batteries all of which are easily within the ability of the direct current'
# - processed in 61.141 seconds.
# - WER = 0.185
# File (2300-131720-0011.flac):
# - 15.875 seconds long.
# - actual    text: 'but when it came to be a question of lighting a scattered suburb a group of dwellings on the outskirts a remote country residence or a farm house the alternating current in all elements save its danger was and is ideal'
# - processed text: 'but when it came to be a question of lighting a scattered suburb a group of dwellings on the outskirts are remote country residence or a farm house the alternating currents in all elements save its danger was and as ideal'
# - processed in 89.707 seconds.
# - WER = 0.073
# File (2300-131720-0012.flac):
# - 11.145 seconds long.
# - actual    text: 'edison was intolerant of sham and shoddy and nothing would satisfy him that could not stand cross examination by microscope test tube and galvanometer'
# - processed text: 'alison was intolerant of sham and shoddy and nothing would satisfy him that could not stand cross examination by microscope test tube and galvanometer'
# - processed in 62.873 seconds.
# - WER = 0.042
# File (2300-131720-0013.flac):
# - 13.89 seconds long.
# - actual    text: 'unless he could secure an engine of smoother running and more exactly governed and regulated than those available for his dynamo and lamp edison realized that he would find it almost impossible to give a steady light'
# - processed text: 'unless he could secure an engine of smooth running and more exactly government regulated than those available for his dynamo and lamp and as soon realized that he would find it almost impossible to give a steady light'
# - processed in 78.342 seconds.
# - WER = 0.162
# File (2300-131720-0014.flac):
# - 3.75 seconds long.
# - actual    text: 'mister edison was a leader far ahead of the time'
# - processed text: 'mister addison was a leader far ahead of the time'
# - processed in 21.032 seconds.
# - WER = 0.1
# File (2300-131720-0015.flac):
# - 8.875 seconds long.
# - actual    text: 'he obtained the desired speed and load with a friction brake also regulator of speed but waited for an indicator to verify it'
# - processed text: 'he obtained the desired speed and loaded with a fiction break also regulator speed but waiting for it indicator to verify it'
# - processed in 50.101 seconds.
# - WER = 0.261
# File (2300-131720-0016.flac):
# - 20.015 seconds long.
# - actual    text: 'then again there was no known way to lubricate an engine for continuous running and mister edison informed me that as a marine engine started before the ship left new york and continued running until it reached its home port so an engine for his purposes must produce light at all times'
# - processed text: 'then again there was no known way to lubricate an engine for continuous running and mister addison inform me that as a marine engine started before the ship left new york and continued running until it reached its home port so an engine for his purposes must produce light at all times'
# - processed in 113.326 seconds.
# - WER = 0.038
# File (2300-131720-0017.flac):
# - 19.915 seconds long.
# - actual    text: 'edison had installed his historic first great central station system in new york on the multiple arc system covered by his feeder and main invention which resulted in a notable saving in the cost of conductors as against a straight two wire system throughout of the tree kind'
# - processed text: 'and i soon had installed his historic first great central stations system in new york on the multiple arc system covered by his feeder and main invention which resulted in a notable saving in the cost of conductors as against a straight to wire system throughout of the tree kind'
# - processed in 111.923 seconds.
# - WER = 0.104
# File (2300-131720-0018.flac):
# - 12.54 seconds long.
# - actual    text: 'he soon foresaw that still greater economy would be necessary for commercial success not alone for the larger territory opening but for the compact districts of large cities'
# - processed text: 'he soon foresaw that still greater economy would be necessary for commercial success not alone for the larger territory opening but for the compact district of large cities'
# - processed in 70.437 seconds.
# - WER = 0.036
# File (2300-131720-0019.flac):
# - 14.82 seconds long.
# - actual    text: 'the strong position held by the edison system under the strenuous competition that was already springing up was enormously improved by the introduction of the three wire system and it gave an immediate impetus to incandescent lighting'
# - processed text: 'a strong position held by the edison system under the strenuous competition that was already springing up was enormously improved by the introduction of a three wire system and a gave an immediate impetus to incandescent lighting'
# - processed in 83.718 seconds.
# - WER = 0.081
# File (2300-131720-0020.flac):
# - 10.35 seconds long.
# - actual    text: 'it was specially suited for a trial plant also in the early days when a yield of six or eight lamps to the horse power was considered subject for congratulation'
# - processed text: 'it was specially suited for a trial plant also in the early days when a yield of six or eight lamps to the horse power was considered subject for congratulation'
# - processed in 58.076 seconds.
# - WER = 0.0
# File (2300-131720-0021.flac):
# - 10.95 seconds long.
# - actual    text: 'the street conductors were of the overhead pole line construction and were installed by the construction company that had been organized by edison to build and equip central stations'
# - processed text: 'the street conductors were of the overhead whole line construction and were installed by the construction company that had been organized by alison to build any quips central stations'
# - processed in 61.571 seconds.
# - WER = 0.138
# File (2300-131720-0022.flac):
# - 13.665 seconds long.
# - actual    text: 'meanwhile he had called upon me to make a report of the three wire system known in england as the hopkinson both doctor john hopkinson and mister edison being independent inventors at practically the same time'
# - processed text: 'meanwhile he had called upon me to make a report of the three wire system known in england as the hopkinson oh doctor john hopkinson and mister edison being independent and venters at practically the same time'
# - processed in 76.879 seconds.
# - WER = 0.083
# File (2300-131720-0023.flac):
# - 11.06 seconds long.
# - actual    text: 'i think he was perhaps more appreciative than i was of the discipline of the edison construction department and thought it would be well for us to wait until the morning of the fourth before we started up'
# - processed text: 'i think he was perhaps more appreciative than i was of the discipline of the edison construction department and thought it would be well for us to wait until the morning of the fourth before we started up'
# - processed in 63.114 seconds.
# - WER = 0.0
# File (2300-131720-0024.flac):
# - 4.77 seconds long.
# - actual    text: 'but the plant ran and it was the first three wire station in this country'
# - processed text: 'but the plant ran and it was the first three wire station in this country'
# - processed in 26.546 seconds.
# - WER = 0.0
# File (2300-131720-0025.flac):
# - 15.28 seconds long.
# - actual    text: 'they were later used as reserve machines and finally with the engine retired from service as part of the collection of edisonia but they remain in practically as good condition as when installed in eighteen eighty three'
# - processed text: 'they were later used as reserved machines and finally with the engine retired from service as part of the collection of ada sonia but they remain in practically as good condition as when installed in eighteen eighty three'
# - processed in 86.311 seconds.
# - WER = 0.081
# File (2300-131720-0026.flac):
# - 17.595 seconds long.
